date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2011/10/18,2646.841,2651.732,2589.205,2592.209,2666.951,3937344800,39453303360,3,0.002495,1,-2.802524,1
2011/10/19,2599.917,2617.411,2580.663,2583.081,2592.209,3111616600,32114967067,3,0.001972,1,-0.352129,1
2011/10/20,2566.603,2570.101,2500.486,2520.532,2583.081,3984246200,39409600021,3,0.002523,1,-2.421491,1
2011/10/21,2522.257,2538.117,2504.693,2507.877,2520.532,2984350300,29090707044,3,0.00189,1,-0.502078,1
2011/10/24,2517.059,2581.125,2501.956,2576.669,2507.877,4634580100,44056731116,3,0.002935,1,2.743037,1
2011/10/25,2572.708,2633.968,2560.047,2625.425,2576.669,5796737500,57533462226,3,0.003671,1,1.892214,1
2011/10/26,2613.272,2679.658,2611.012,2651.652,2625.425,7309824000,69534363517,3,0.004629,1,0.998964,1
2011/10/27,2658.428,2672.84,2647.296,2657.478,2651.652,4882039100,47403219262,3,0.003092,1,0.219709,1
2011/10/28,2694.542,2729.139,2689.376,2709.017,2657.478,7164310500,72908419745,3,0.004537,1,1.939397,1
2011/10/31,2704.535,2709.317,2680.992,2695.307,2709.017,5040711200,52522499085,3,0.003191,1,-0.506095,1
2011/11/1,2672.508,2726.088,2669.05,2697.534,2695.307,5520665100,56067605452,3,0.003489,1,0.082627,1
2011/11/2,2658.547,2742.938,2653.722,2742.39,2697.534,6436158400,65327476275,3,0.004066,1,1.662851,1
2011/11/3,2752.627,2781.039,2743.196,2744.301,2742.39,8482076000,90502549983,3,0.005358,1,0.069689,1
2011/11/4,2770.572,2781.99,2748.978,2763.746,2744.301,6195821800,63500868592,3,0.003914,1,0.708562,1
2011/11/7,2750.991,2769.296,2733.168,2736.248,2763.746,4537505600,47761935110,3,0.002866,1,-0.994956,1
2011/11/8,2745.059,2756.091,2723.693,2727.71,2736.248,4788425200,47864912703,3,0.003025,1,-0.312036,1
2011/11/9,2739.154,2755.811,2710.054,2751.654,2727.71,4687796000,48484230112,3,0.002961,1,0.877809,1
2011/11/10,2720.836,2729.572,2698.306,2699.588,2751.654,5117370200,51793948486,3,0.003233,1,-1.892177,1
2011/11/11,2705.243,2713.914,2685.101,2695.002,2699.588,3663669600,38724219259,3,0.002314,1,-0.169876,1
2011/11/14,2717.544,2751.88,2714.862,2750.195,2695.002,4639094300,51333489021,3,0.00293,1,2.047981,1
2011/11/15,2746.773,2754.001,2732.913,2744.68,2750.195,4175986400,46980738996,3,0.002636,1,-0.200536,1
2011/11/16,2745.858,2746.29,2659.148,2670.116,2744.68,5594923900,57844199048,3,0.003531,1,-2.716672,1
2011/11/17,2671.953,2687.831,2660.651,2662.017,2670.116,3524765200,37762635927,3,0.002225,1,-0.303316,1
2011/11/18,2643.667,2646.209,2601.179,2606.495,2662.017,4241471800,44949477108,3,0.002677,1,-2.085711,1
2011/11/21,2608.556,2613.262,2587.742,2609.687,2606.495,2797189600,31175406753,3,0.001763,1,0.122459,1
2011/11/22,2592.229,2611.15,2580.781,2609.475,2609.687,2906907800,31886735092,3,0.001832,1,-0.00812,1
2011/11/23,2613.291,2617.088,2578.157,2584.011,2609.475,2853141200,30958563539,3,0.001799,1,-0.975833,1
2011/11/24,2565.686,2604.236,2557.695,2588.915,2584.011,3031960100,31894726945,3,0.001911,1,0.189784,1
2011/11/25,2585.137,2598.392,2563.65,2569.973,2588.915,2391376600,27509358470,3,0.001507,1,-0.731663,1
2011/11/28,2578.344,2589.354,2562.493,2573.321,2569.973,2566693600,29179539395,3,0.001618,1,0.130279,1
